CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;GRUPO_DFP;MOEDA;ESCALA_MOEDA;ORDEM_EXERC;DT_INI_EXERC;DT_FIM_EXERC;CD_CONTA;DS_CONTA;VL_CONTA
06.981.381/0001-13;2019-03-31;2;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;23981;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;PENÚLTIMO;2017-04-01;2018-03-31;3.01;Receita de Venda de Bens e/ou Serviços;0.00
06.981.381/0001-13;2019-03-31;2;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;23981;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;ÚLTIMO;2018-04-01;2019-03-31;3.01;Receita de Venda de Bens e/ou Serviços;186731.00
06.981.381/0001-13;2019-03-31;2;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;23981;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;PENÚLTIMO;2017-04-01;2018-03-31;3.02;Custo dos Bens e/ou Serviços Vendidos;0.00
06.981.381/0001-13;2019-03-31;2;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;23981;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;ÚLTIMO;2018-04-01;2019-03-31;3.02;Custo dos Bens e/ou Serviços Vendidos;-106080.00
06.981.381/0001-13;2019-03-31;2;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;23981;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;PENÚLTIMO;2017-04-01;2018-03-31;3.03;Resultado Bruto;0.00
06.981.381/0001-13;2019-03-31;2;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;23981;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;ÚLTIMO;2018-04-01;2019-03-31;3.03;Resultado Bruto;80651.00
06.981.381/0001-13;2019-03-31;2;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;23981;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;PENÚLTIMO;2017-04-01;2018-03-31;3.04;Despesas/Receitas Operacionais;0.00
06.981.381/0001-13;2019-03-31;2;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;23981;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;ÚLTIMO;2018-04-01;2019-03-31;3.04;Despesas/Receitas Operacionais;-57671.00
06.981.381/0001-13;2019-03-31;2;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;23981;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;PENÚLTIMO;2017-04-01;2018-03-31;3.04.01;Despesas com Vendas;0.00
06.981.381/0001-13;2019-03-31;2;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;23981;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;ÚLTIMO;2018-04-01;2019-03-31;3.04.01;Despesas com Vendas;0.00
06.981.381/0001-13;2019-03-31;2;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;23981;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;PENÚLTIMO;2017-04-01;2018-03-31;3.04.02;Despesas Gerais e Administrativas;0.00
06.981.381/0001-13;2019-03-31;2;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;23981;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;ÚLTIMO;2018-04-01;2019-03-31;3.04.02;Despesas Gerais e Administrativas;-57141.00
